user 	commit_cnt 	commit_add_cnt 	commit_del_cnt 	issue_open_cnt 	issue_close_cnt 	issue_comment_cnt 	pull_open_cnt 	pull_close_cnt 	pull_comment_cnt
wyager 	0 	0 	0 	0 	1 	0 	0 	1 	0
celeduc 	1 	3 	3 	0 	1 	0 	0 	1 	0
dserrano5 	1 	3 	3 	0 	1 	3 	0 	1 	3
jburkle 	0 	0 	0 	0 	2 	0 	0 	1 	0
APerson241 	1 	2 	2 	1 	3 	6 	0 	1 	0
jcalvinowens 	1 	6 	0 	0 	2 	1 	0 	2 	1
ptrckbrwn 	1 	1 	1 	0 	1 	1 	0 	1 	1
mb300sd 	1 	7 	0 	1 	3 	3 	0 	2 	1
L2G 	1 	0 	1 	1 	3 	29 	0 	1 	16
94m3k1n9 	1 	9 	0 	0 	1 	4 	0 	1 	0
DavidGriffith 	1 	1 	1 	0 	1 	0 	0 	1 	0
cryptocoins 	1 	1 	1 	0 	0 	0 	0 	0 	0
gandaro 	0 	0 	0 	0 	1 	1 	0 	1 	1
justmoon 	1 	1106 	33 	0 	0 	8 	0 	0 	8
apoelstra 	1 	1 	1 	0 	2 	2 	0 	2 	2
petterreinholdtsen 	1 	1 	1 	0 	0 	0 	0 	0 	0
rdponticelli 	1 	6 	1 	1 	4 	20 	0 	3 	8
shanew 	0 	0 	0 	0 	1 	2 	0 	1 	2
burger2 	1 	2 	2 	0 	4 	44 	0 	1 	8
Nothing4You 	1 	12 	12 	0 	1 	5 	0 	1 	5
mcassano 	1 	13 	5 	0 	3 	3 	0 	1 	2
kwaaak 	0 	0 	0 	0 	1 	1 	0 	1 	1
iongchun 	0 	0 	0 	0 	2 	6 	0 	2 	1
tucenaber 	1 	4 	2 	0 	2 	4 	0 	1 	2
Arnavion 	1 	32 	32 	0 	1 	0 	0 	1 	0
redshark1802 	1 	13 	1 	0 	1 	1 	0 	1 	1
nobled 	2 	66 	55 	0 	2 	0 	0 	2 	0
colindean 	2 	283 	102 	0 	5 	21 	0 	4 	19
maqifrnswa 	2 	218 	11 	0 	1 	1 	0 	1 	1
bytemaster 	2 	4 	0 	0 	1 	3 	0 	1 	3
enmaku 	2 	333 	0 	0 	4 	14 	0 	2 	12
alexwaters 	2 	16 	4 	1 	10 	93 	0 	5 	41
coderrr 	2 	168 	2 	0 	2 	17 	0 	2 	17
xslidian 	2 	484 	377 	0 	3 	0 	0 	3 	0
phelixbtc 	2 	3 	3 	0 	4 	6 	0 	4 	4
CAFxX 	2 	7 	3 	0 	4 	14 	0 	4 	12
cardpuncher 	2 	3 	1 	0 	11 	12 	0 	4 	1
sgimenez 	2 	50 	17 	0 	7 	22 	0 	4 	19
spiechu 	2 	1293 	211 	0 	3 	1 	0 	3 	1
Krellan 	2 	137 	4 	1 	3 	29 	0 	3 	25
cdhowie 	2 	70 	3 	0 	3 	13 	0 	3 	13
drizzt 	2 	3 	3 	0 	2 	3 	0 	2 	2
dlitz 	2 	13 	10 	0 	1 	4 	0 	1 	4
constantined 	2 	697 	398 	0 	1 	3 	0 	1 	3
xHire 	2 	1685 	602 	0 	5 	2 	0 	4 	2
davout 	2 	4 	3 	2 	10 	20 	0 	3 	9
brandondahler 	3 	2281 	1881 	1 	5 	29 	1 	4 	27
mhanne 	2 	2 	2 	0 	2 	0 	0 	2 	0
vinniefalco 	3 	27778 	27641 	0 	3 	22 	0 	3 	22
pstratem 	3 	85 	11 	2 	5 	12 	1 	4 	11
cozz 	5 	2566 	52 	0 	5 	44 	0 	5 	44
al42and 	3 	47 	10 	0 	3 	2 	0 	3 	2
EricJ2190 	4 	42 	13 	0 	3 	4 	0 	3 	4
grimd34th 	4 	15 	6 	0 	5 	3 	0 	5 	3
globalcitizen 	4 	51 	26 	0 	1 	0 	0 	1 	0
paraipan 	4 	4239 	498 	0 	10 	25 	0 	8 	24
robbak 	4 	9 	5 	0 	6 	27 	0 	6 	14
jayschwa 	4 	7 	0 	0 	5 	5 	0 	3 	2
vsrinivas 	4 	9 	7 	0 	0 	0 	0 	0 	0
mibe 	4 	700 	594 	0 	4 	3 	0 	5 	3
fcicq 	5 	25 	8 	0 	2 	4 	0 	2 	4
r000n 	5 	39 	5 	0 	3 	5 	0 	3 	4
