3258	Dont talk about it, just merge it ^^. NO other change than removal of spaces.
3252	Adds three new languages: - de_AT: German (Austria) - gl: Galician - sl_SI: Slovenian (Slovenia) Updates many others. Thanks to the translators contributing on Transifex!
3251	spellcheck.
3248	This is more consistent with other places in the GUI. ![overviewalignright](https://f.cloud.github.com/assets/126646/1539303/35e0bb78-4d06-11e3-8cad-d6eeff582cf8.png)
3247	- example: if util.h includes stdint.h, remove it from util.cpp, as util.h is the first header included in util.cpp
3246	Rebased (and pulltester-fixed) version of #3184
3244	Change mingw build to use C99 printf statements. Otherwise, format specifiers such as PRId64 will not work on XP or earlier (see This bug was introduced with 51ed9ec9. Continued from #3237 (Silence inttypes.h compiler warnings on Windows) and #3236 (massive compiler warning spam). This also adds strprintf() testcases so that hopefully this problem will be caught by the pulltester next time.
3241	Fixes ancient issue #1460.
3240	Rebased version of #2901
3238	- harmonize function with GUIUtil::getOpenFileName() - also make PNG Image singular (grammar)
3237	- the warnings are related to MinGWs inttypes.h (observed with MinGW based on GCC version 4.8.1 (rev5, Built by MinGW-W64 project) and likely other version also suffer from this) - fixes #3236
3235	
3233	Lets merge the non-controversial commits of #3147, at least if it passes the pulltester now.
3232	Add note about building on Ubuntu 13.10 (issue #3219). Also mention `autoconf` as required package.
3231	Updates some documentation, sparked from issue #3230. I cannot test the build instructions myself, but assume they will work (what is there now doesnt work regardless). The command find . -path */.git* -prune -o -type f -exec grep makefile\\. {} \; -print shows only 2 more files that reference the old makefile.* files: cd src; $(MAKE) -f makefile.unix bitcoind cd src; $(MAKE) -f makefile.unix clean cd src; $(MAKE) -f makefile.unix test_bitcoin ./contrib/debian/rules src/makefile.osx (Expat). ./contrib/debian/changelog
3223	* Add a few more basic script/tx test-cases (bitcoinj broke :( ) * Skip comparison tool on win32 since Wine breaks it
3222	- rework window title to not include Bitcoin - in front, as no other dialog does this - favor a connect() call over an own function for clearing the traffic graph - write monospace lowercase (seems to be correct after some web search) and add a comment that we should avoid / remove fixed font sizes
3215	This adds a simple "Open URI..." option to the menu which allows manually opening URIs and payment requests from files on disk. ![openurl1](https://f.cloud.github.com/assets/126646/1482933/a436f73c-46ed-11e3-9a17-c05f9d03c62c.png) ![openurl2](https://f.cloud.github.com/assets/126646/1482934/a448fe5a-46ed-11e3-8086-eda85889fec3.png) Some behind-the-scenes code changes: - Always route received URIs (even those drag/dropped) through PaymentServer; this means that bitcoin: URIs that refer to payment requests can be used - Add getOpenFileName function to GUIUtil analogous to getSaveFileName Addresses #3202.
3211	Fixes issue #3200. I do not know much about autotools nor automake, I would highly recommend review by a more knowledgeable person in the area. Has been merged into #2767 and subsequenty caused it to pass the BitcoinPullTester.
3209	Could you check the ``AskPassphraseDialog::event()`` code, it looks like we nearly duplicated ``AskPassphraseDialog::eventFilter()``. Perhaps its save to remove it, Im not sure.
3208	- this change extends our working drag and drop feature for bitcoin: URIs by adding support for payment request URIs (payment request files should be easy to do in another pull also) - removes code from BitcoinGUI and lets PaymentServer handle it - makes eventFilter() in PaymentServer protected Intended as a first step for #3202.
3206	
3205	
3204	
3199	This pull request should have no functional effects. * The first commit removes the CBlockIndex dependency of CCoinsView, making it reason in terms of block hashes (which it was doing under the hood anyway). * The second commit moves most CCoins/CCoinsView related logic to coins.{h,cpp}, and the rest to txmempool.{h,cpp}. This removes the need for the LookupFromTip loophole, as txmempool is just built on top of coins.
